ablegier	ablegierek
Adam	Adasieczek
Adam	Adasiek
Adam	Adaś
Adelajda	Adelka
adiutant	adiutancik
Adolf	Adolfek
Adolf	Dolek
Adolf	Doluś
afera	aferka
Agata	Aga
Agata	Agatka
Agata	Agunia
Agata	Agusia
Agata	Jaga
Agnieszka	Aga
Agnieszka	Agunia
Agnieszka	Agusia
Agnieszka	Jagunia
Agnieszka	Jagusia
Agnieszka	Jaguśka
Agnieszka	Neszka
Ala	Alusia
Albert	Albercik
Albert	Bercik
album	albumik
Aldona	Aldonka
Aleksander	Alek
Aleksander	Aluś
Aleksander	Oleczek
Aleksander	Olek
Aleksander	Oleś
Aleksander	Oluś
Aleksandra	Alka
Aleksy	Al
Alfons	Al
Alfred	Alf
Alfred	Fred
Alfred	Fredek
Alfred	Fredzio
Alfreda	Freda
Alfreda	Fredka
Alicja	Ala
Alicja	Alka
Alina	Ala
Alina	Alinka
Alina	Alka
Alojzy	Alo
Alojzy	Alojzeczek
Alojzy	Alojzek
Alojzy	Alojzik
Alojzy	Lojzeczek
Alojzy	Lojzek
Alojzy	Lojzik
Amalia	Amelcia
Amalia	Amelka
Amalia	Mela
Amalia	Melcia
Amalia	Melka
Ambroży	Ambrozik
Ambroży	Ambrożek
Amelia	Amelcia
Amelia	Amelka
Amelia	Mela
Amelia	Melcia
Amelia	Melka
Anastazja	Nastka
Anastazja	Nastusia
Anastazja	Stazyjka
Anastazy	Nastek
Anastazy	Nastuś
Anatol	Anatolek
Anatol	Tolek
Anatol	Tolo
Andrzej	Andrzejek
Andrzej	Jędrek
Andrzej	Jędruś
Andrzej	Jędrzejek
Aneta	Anetka
Aniela	Anielcia
Aniela	Anielka
Anielka	Anielcia
Anna	Aneczka
Anna	Ania
Anna	Anka
Anna	Anula
Anna	Anusia
Antoni	Antek
Antoni	Antoś
Antoni	Jantek
Antoni	Jantuś
Antoni	Toni
Antoni	Tonio
Antoni	Tosiek
Antonina	Antosia
Antonina	Jantośka
Antonina	Tosia
Antonina	Tośka
Antoniusz	Antoś
aplegier	aplegierek
Apolinary	Polek
Apolonia	Polcia
Apolonia	Polonka
Apolonia	Polunia
Apolonia	Polusia
Apoloniusz	Polek
arab	arabczyk
Arab	Arabczyk
aria	aryjka
Arkadiusz	Arek
armata	armacię
aron	aronek
Artur	Artek
Artur	Artuś
artykuł	artykulik
August	Gustek
August	Gutek
Augustyna	Augustynka
bakalie	bakalijki
baranek	baraneczek
Barbara	Barbórka
Barbara	Basia
Barbara	Baśka
barchan	barchanik
Bartłomiej	Bartoszek
Bartłomiej	Bartuś
Bartosz	Bartoszek
Bartosz	Bartuś
batalion	batalionik
bateria	bateryjka
bażant	bażancik
Beata	Atka
Beata	Beatka
beduina	beduinka
befsztyk	befsztyczek
beksa-lala	mądralka
Benedykt	Benek
Benedykt	Benio
Benedykt	Benuś
Benon	Benek
Benon	Benio
Benon	Benuś
biedaszyb	biedaszybik
blondyn	blondynek
bodziak	bodziaczek
Bogdan	Bogdanek
Bogdan	Boguś
Bogdan	Bohdanek
Bogumił	Boguś
Bogumiła	Bogunia
Bogumiła	Bogusia
Bogumiła	Boguśka
Bogusław	Boguś
Bohdan	Bogdanek
Bohdan	Bohdanek
bojarzyn	bojarzynek
Bolesław	Boleczek
Bolesław	Boluś
Bożena	Bożenka
brat	bratunio
Bronisław	Broneczek
Bronisław	Bronek
Bronisław	Bronuś
Bronisława	Bronia
Bronisława	Bronka
Bronisława	Brońcia
brydż	brydżyk
Brygida	Brygidka
brzeg	brzeżek
bułka	bułeczka
butelka	buteleczka
całus	całusek
ceber	cebrzyk
Cecylia	Cechna
Cecylia	Cecylka
Cecylia	Cyla
Cecylia	Cylka
Celestyna	Celestynka
Celestyna	Celka
Celina	Cela
Celina	Celinka
Cezar	Czarek
Cezar	Czaruś
Cezariusz	Czarek
Cezariusz	Czaruś
Cezary	Czarek
Cezary	Czaruś
chałupa	chałupię
chichot	chichotek
chleb	chlebek
chłop	chłopek
chmura	chmurka
chochla	chochelka
chrzan	chrzanik
chwila	chwileńka
chwila	chwilka
ciastko	ciasteczko
ciemię	ciemiączko
cień	cienik
ciotusia	ciotusieńka
córka	córeczka
cuma	cumka
cyganka	cyganeczka
Cyganka	Cyganeczka
czaban	czabanek
czekan	czekanik
czerw	czerwik
Czesław	Czesiek
Czesław	Czesio
Czesław	Cześ
Czesława	Czesia
Daniel	Danek
Daniel	Danielek
Daniel	Danik
Daniel	Danuś
Daniela	Danka
Danuta	Danka
Danuta	Danusia
Danuta	Danuśka
Dawid	Dawidek
dąb	dębuszek
Demetriusz	Micka
Demetriusz	Mićka
denar	denarek
dioda	diodka
Dionizy	Dyzio
Dionizy	Dyź
Dobrosława	Dobrocha
Dobrosława	Dobrochna
dom	domek
Dominik	Domeczek
Dominik	Domek
Dominik	Dominiczek
Dominika	Domenka
Dominika	Dominiczka
Dominika	Dominisia
Dominika	Domka
Dorota	Dora
Dorota	Dorcia
Dorota	Dorka
Dorota	Dorotka
drobiazg	drobiażdżek
drobina	drobinka
duperela	duperelka
Dymitr	Micka
Dymitr	Mićka
dywan	dywanik
Dyzma	Dyzio
Dyzma	Dyź
dziennik	dzienniczek
dziura	dziurka
Edmund	Mundek
Edmund	Mundzik
Edmund	Mundzio
Edward	Ed
Edward	Edek
Edward	Eduś
Edward	Edzik
Edward	Edzio
Edwarda	Edka
Edwarda	Edzia
Edyta	Edytka
ekran	ekranik
Eleonora	Eleonorcia
Eleonora	Eleonorka
Eligiusz	Elek
Eligiusz	Eluś
Elżbieta	Ela
Elżbieta	Elka
Elżbieta	Elunia
Elżbieta	Elżbietka
Elżbieta	Elżunia
Emil	Emilek
Emilia	Emilcia
Emilia	Emilka
Eryk	Eryczek
Estera	Esterka
Eugenia	Genia
Eugenia	Gienia
Eugenia	Gieniuchna
Eugenia	Gieńka
Eugenia	Żenia
Eugenia	Żeńka
Eugeniusz	Genek
Eugeniusz	Genio
Eugeniusz	Gienek
Eugeniusz	Gienio
Ewa	Ewcia
