	Lemat	Część mowy	Frekwencja
0	.	interp	19815831
1	,	interp	19772117
2	w	prep	7899844
3	i	conj	5219197
4	z	prep	4609683
5	się	part	4330855
6	na	prep	4263972
7	-	interp	3975958
8	nie	part	3587236
9	on	ppron3	3117266
10	do	prep	2917185
11	być	fin	2535386
12	ten	adj	2270559
13	że	comp	2219716
14	"\"""	interp	1885162
15	który	adj	1780248
16	o	prep	1729807
17	być	aglt	1670281
18	to	subst	1490259
19	a	conj	1465592
20	)	interp	1451634
21	:	interp	1429780
22	być	praet	1347436
23	(	interp	1341679
24	?	interp	1129793
25	–	interp	999499
26	po	prep	990224
27	mieć	fin	962518
28	od	prep	930518
29	ale	conj	886369
30	ja	ppron12	882044
31	rok	subst	882022
32	jak	adv	853645
33	to	pred	838065
34	za	prep	796279
35	przez	prep	785481
36	co	subst	753238
37	być	bedzie	676079
38	dla	prep	669329
39	pan	subst	643999
40	już	part	622565
41	taki	adj	618182
42	swój	adj	593965
43	bardzo	adv	590506
44	móc	fin	588389
45	tak	adv	546585
46	!	interp	539825
47	by	part	535538
48	siebie	siebie	476252
49	jeden	adj	453186
50	mieć	praet	437871
51	inny	adj	437647
52	czas	subst	437028
53	czy	part	435133
54	my	ppron12	420408
55	oraz	conj	416438
56	człowiek	subst	408707
57	bo	comp	401418
58	tylko	part	397197
59	sam	adj	390182
60	”	interp	387179
61	też	part	379455
62	sprawa	subst	378331
63	„	interp	371142
64	przed	prep	366638
65	nasz	adj	365821
66	jeszcze	part	364858
67	praca	subst	361175
68	dzień	subst	360039
69	być	inf	359950
70	1	dig	358070
71	pierwszy	adj	355809
72	przy	prep	346196
73	raz	subst	332557
74	jednak	conj	331340
75	nowy	adj	330715
76	dwa	num	328513
77	to	comp	327445
78	osoba	subst	316566
79	zostać	praet	314238
80	mój	adj	310787
81	także	part	302364
82	można	pred	300246
83	pod	prep	299158
84	lub	conj	298105
85	rok	brev	296350
86	2	dig	293592
87	wszystek	adj	293116
88	mówić	fin	292678
89	polski	adj	291662
90	to	part	291521
91	duży	adj	288134
92	jaki	adj	283569
93	miejsce	subst	281169
94	nawet	part	278669
95	dobry	adj	276194
96	;	interp	275815
97	cały	adj	273662
98	Polska	subst	269557
99	wszystko	subst	266617
100	życie	subst	262462
101	każdy	adj	259799
102	móc	praet	254624
103	ustawa	subst	253594
104	drugi	adj	253025
105	więc	comp	252560
106	gdy	adv	248744
107	dziecko	subst	237262
108	3	dig	232218
109	strona	subst	230764
110	wiedzieć	fin	226707
111	ty	ppron12	225602
112	prawo	subst	225559
113	bez	prep	224529
114	również	part	223483
115	kiedy	adv	222671
116	czy	conj	221002
117	pani	subst	219911
118	wysoki	adj	213778
119	wiele	num	212934
120	dobrze	adv	212211
121	jeśli	comp	212035
122	tu	adv	211578
123	musieć	fin	210601
124	jako	conj	210259
125	miasto	subst	209520
126	chcieć	fin	209498
127	kilka	num	208462
128	nad	prep	205328
129	by	comp	205107
130	/	interp	202990
131	teraz	adv	201402
132	procent	brev	200092
133	złoty	brev	199182
134	żeby	comp	198819
135	kto	subst	198239
136	jakiś	adj	197518
137	chcieć	praet	197459
138	aby	comp	190739
139	nic	subst	189302
140	dom	subst	189239
141	państwo	subst	187641
142	powinien	winien	187405
143	sposób	subst	187365
144	firma	subst	186936
145	tam	adv	185655
146	świat	subst	181812
147	szkoła	subst	179602
148	coś	subst	177261
149	komisja	subst	176201
150	u	prep	172972
151	koniec	subst	172578
152	artykuł	brev	172350
153	wielki	adj	168741
154	trzeba	pred	167983
155	gdzie	adv	166789
156	sytuacja	subst	163389
157	no	part	161832
158	tylko	conj	161264
159	powiedzieć	praet	161217
160	zmiana	subst	158006
161	droga	subst	157699
162	może	part	157083
163	trzy	num	156265
164	4	dig	154438
165	ostatni	adj	154414
166	chwila	subst	153979
167	część	subst	150550
168	kraj	subst	149997
169	sąd	subst	149398
170	pewien	adj	148948
171	minister	subst	147242
172	żaden	adj	146980
173	prosić	fin	146933
174	poseł	subst	144251
175	problem	subst	144236
176	5	dig	142216
177	właśnie	part	141698
178	mały	adj	141397
179	grupa	subst	139967
180	wtedy	adv	139811
181	własny	adj	139383
182	ważny	adj	137571
183	ręka	subst	137569
184	albo	conj	137249
185	często	adv	136912
186	pytanie	subst	136621
187	tak	part	136388
188	kolejny	adj	136323
189	pieniądz	subst	136206
190	stan	subst	134893
191	rada	subst	132379
192	przypadek	subst	131790
193	stary	adj	130925
194	projekt	subst	129908
195	potem	adv	129820
196	cel	subst	129731
197	należeć	fin	129455
198	niż	conj	129321
199	rzecz	subst	129013
200	związek	subst	128537
201	dlatego	adv	128490
202	informacja	subst	128313
203	program	subst	128029
204	kobieta	subst	126604
205	rząd	subst	124946
206	głos	subst	124931
207	jeżeli	comp	124627
208	zawsze	adv	124414
209	ktoś	subst	123764
210	rynek	subst	122881
211	10	dig	122592
212	zespół	subst	121267
213	pomoc	subst	121018
214	środek	subst	119841
215	podczas	prep	119197
216	ubezpieczenie	subst	119138
217	między	prep	119005
218	przecież	part	118862
219	numer	brev	118759
220	młody	adj	118759
221	słowo	subst	118611
222	czyli	conj	118458
223	wniosek	subst	118402
224	stać	praet	118216
225	gmina	subst	117501
226	system	subst	116601
227	oko	subst	116472
228	nie	conj	116418
229	uwaga	subst	115997
230	różny	adj	115778
231	wynik	subst	115040
232	6	dig	113764
233	spotkanie	subst	113140
234	mało	adv	112194
235	możliwość	subst	111679
236	nikt	subst	111099
237	rodzina	subst	111026
238	udział	subst	110330
239	miesiąc	subst	110169
240	głowa	subst	109501
241	i	part	108612
242	społeczny	adj	107954
243	musieć	praet	107545
244	senator	subst	106328
245	chodzić	fin	104793
246	decyzja	subst	104528
247	zasada	subst	104471
248	punkt	subst	104375
249	godzina	subst	104223
250	temat	subst	104209
251	natomiast	conj	103944
252	zacząć	praet	103409
253	władza	subst	102971
254	przepis	subst	102003
255	późno	adv	101058
256	ani	conj	100940
257	mówić	praet	100849
258	chyba	part	100197
259	mieszkaniec	subst	99913
260	zdanie	subst	99750
261	pracownik	subst	99609
262	dziękować	fin	99041
263	okres	subst	98199
264	choć	comp	98047
265	gdyby	comp	98008
266	kompania	brev	96828
267	tysiąc	brev	96694
268	akcja	subst	96366
269	poprawka	subst	96280
270	oczywiście	part	96171
271	prezes	subst	95723
272	przykład	subst	95656
273	urząd	subst	95257
274	fundusz	subst	94438
275	0	dig	94016
276	rozmowa	subst	93786
277	ojciec	subst	93724
278	wartość	subst	93558
279	umowa	subst	93358
280	zostać	fin	92941
281	Warszawa	subst	92730
282	na_przykład	brev	92337
283	dopiero	part	91909
284	co	comp	91478
285	dziś	adv	91362
286	europejski	adj	90950
287	woda	subst	90460
288	początek	subst	90422
289	publiczny	adj	90382
290	7	dig	90056
291	bank	subst	88692
292	działalność	subst	88423
293	jak	conj	88333
294	prezydent	subst	88251
295	ponad	part	88239
296	podstawa	subst	88096
297	20	dig	87824
298	dyrektor	subst	87712
299	daleko	adv	87701
300	mecz	subst	87654
301	wcześnie	adv	87553
302	iż	comp	87422
303	godzina	brev	87178
304	działanie	subst	86996
305	koszt	subst	86909
306	bowiem	comp	86881
307	zakład	subst	86109
308	lecz	conj	85759
309	niektóry	adj	85421
310	poza	prep	85228
311	członek	subst	85167
312	nigdy	adv	84831
313	ulica	subst	84797
314	mężczyzna	subst	84708
315	samochód	subst	84467
316	klient	subst	84196
317	powód	subst	84077
318	główny	adj	83993
319	coraz	adv	83843
320	tydzień	subst	83750
321	klub	subst	83638
322	dlaczego	adv	83571
323	]	interp	82844
324	15	dig	82622
325	cena	subst	82567
326	związany	adj	82423
327	jak	prep	82417
328	książka	subst	82410
329	zakres	subst	82372
330	dużo	adv	82270
331	8	dig	82016
332	więcej	num	81992
333	ziemia	subst	81938
334	wiek	subst	81929
335	wojna	subst	81669
336	finansowy	adj	80963
337	dzięki	prep	80941
338	oba	num	80887
339	wszyscy	subst	80867
340	wśród	prep	80303
341	ulica	brev	80085
342	prawda	subst	79528
343	dotyczyć	pact	79451
344	[	interp	79267
345	zły	adj	79038
346	większość	subst	79032
347	teren	subst	78896
348	siła	subst	78705
349	ponieważ	comp	78485
350	góra	subst	78475
351	polityczny	adj	78264
352	kultura	subst	78258
353	spółka	subst	77932
354	historia	subst	77749
355	liczba	subst	77728
356	trzeci	adj	77700
357	ustęp	brev	77138
358	wobec	prep	76986
359	tysiąc	subst	76888
360	wzgląd	subst	76714
361	policja	subst	76682
362	uważać	fin	76574
363	myśleć	fin	76468
364	kościół	subst	76303
365	stanowisko	subst	75993
366	12	dig	75839
367	film	subst	75738
368	mieć	inf	75305
369	bóg	subst	75196
370	mimo	prep	75178
371	według	prep	75119
372	II	romandig	74740
373	30	dig	74220
374	matka	subst	73981
375	powiedzieć	inf	73808
376	między_innymi	brev	73797
377	ochrona	subst	73601
378	unia	subst	73245
379	za	part	72871
380	co	prep	72669
381	ruch	subst	72399
382	Andrzej	subst	72302
383	szybko	adv	72244
384	rozwój	subst	71842
385	polityka	subst	71610
386	forma	subst	71572
387	badanie	subst	71361
388	śmierć	subst	71166
389	znaleźć	praet	71043
390	bliski	adj	70783
391	długi	adj	70705
392	sejm	subst	69967
393	pełny	adj	69956
394	fakt	subst	69900
395	prosty	adjp	69861
396	Jan	subst	69823
397	tutaj	adv	69767
398	prawny	adj	69577
399	proces	subst	69317
400	zarząd	subst	69039
401	cztery	num	69027
402	jedynie	part	68835
403	twój	adj	68748
404	Europa	subst	68652
405	aż	part	68420
406	9	dig	68375
407	ogół	subst	68038
408	*	interp	67953
409	milion	brev	67884
410	poziom	subst	67814
411	marszałek	subst	67764
412	gospodarczy	adj	67515
413	zdrowie	subst	67476
414	tytuł	subst	67204
415	wypadek	subst	67176
416	prawie	part	67138
417	granica	subst	67027
418	zaś	conj	66827
419	rodzaj	subst	66761
420	gra	subst	66707
421	mieszkanie	subst	66672
422	obecnie	adv	66605
423	11	dig	66424
424	miejski	adj	66217
425	podstawowy	adj	66090
426	dokument	subst	66047
427	trudno	adv	65633
428	naprawdę	part	65305
429	uczeń	subst	65105
430	rola	subst	65068
431	Polak	subst	65003
432	izba	subst	64875
433	brak	subst	64796
434	temu	prep	64790
435	zadanie	subst	64480
436	dana	subst	64360
437	potrzeba	subst	64177
438	plan	subst	63847
439	szpital	subst	63811
440	ile	num	63275
441	organizacja	subst	62879
442	podobny	adj	62616
443	Polska	brev	62400
444	okazać	praet	62270
445	narodowy	adj	62078
446	moment	subst	61954
447	środowisko	subst	61901
448	daleki	adj	61858
449	noc	subst	61671
450	zgodnie	adv	61541
451	obowiązek	subst	61525
452	szansa	subst	61431
453	budynek	subst	61347
454	postępowanie	subst	61100
455	długo	adv	60906
456	rodzic	subst	60651
457	wydawać	fin	60604
458	widzieć	fin	60577
459	złoty	subst	60478
460	wysokość	subst	60059
461	budowa	subst	60008
462	walka	subst	59999
463	dzisiaj	adv	59980
464	odpowiedź	subst	59948
465	obecny	adj	59830
466	jakby	comp	59802
467	opinia	subst	59669
468	termin	subst	59648
469	wiedzieć	praet	59521
470	właściciel	subst	59245
471	powiat	subst	59163
472	lekarz	subst	59081
473	wpływ	subst	59047
474	język	subst	58838
475	kwestia	subst	58752
476	twarz	subst	58719
477	ciąg	subst	58685
478	Piotr	subst	58588
479	myśl	subst	58364
480	niestety	part	58316
481	usługa	subst	58281
482	robić	fin	58117
483	jedyny	adj	57865
484	około	part	57763
485	służba	subst	57707
486	pewno	adv	57678
487	wówczas	adv	57646
488	paragraf	brev	57632
489	14	dig	57597
490	gazeta	subst	57393
491	udać	praet	57381
492	konkurs	subst	57302
493	autor	subst	57135
494	rozwiązanie	subst	57053
495	—	interp	57000
496	okazja	subst	56899
497	nadzieja	subst	56842
498	metr	brev	56836
499	klasa	subst	56729
500	gospodarka	subst	56553
501	połowa	subst	56500
502	postać	subst	56500
503	minuta	subst	56431
504	stać	fin	56311
505	16	dig	56185
506	13	dig	56154
507	następny	adj	56133
508	szef	subst	55851
509	zbyt	adv	55549
510	obraz	subst	55472
511	trochę	adv	55451
512	wspólny	adj	55351
513	25	dig	55287
514	zresztą	part	55280
515	gdyż	comp	55053
516	charakter	subst	55020
517	centrum	subst	54974
518	towarzystwo	subst	54943
519	tekst	subst	54868
520	sztuka	subst	54835
521	drużyna	subst	54790
522	wiadomo	pred	54601
523	typ	subst	54553
524	przedstawiciel	subst	54429
525	ubezpieczeniowy	adj	54403
526	jednostka	subst	54374
527	18	dig	54169
528	budżet	subst	54161
529	ciało	subst	54060
530	zwłaszcza	part	53943
531	trudny	adj	53831
532	prawdziwy	adj	53733
533	mowa	subst	53707
534	wy	ppron12	53702
535	raczej	part	53561
536	państwowy	adj	53465
537	podatek	subst	53456
538	List_świętego_Piotra	brev	53369
539	drzwi	subst	53310
540	niż	prep	53073
541	zawodowy	adj	53003
542	si	adj	52939
543	jednak	part	52854
544	zrobić	praet	52719
545	wczoraj	adv	52646
546	stopień	subst	52584
547	Marek	subst	52064
548	wraz	adv	51993
549	specjalny	adj	51975
550	sprzedaż	subst	51938
551	pięć	num	51932
552	partia	subst	51728
553	maj	subst	51716
554	zarówno	conj	51698
555	warunki	subst	51620
556	produkt	subst	51588
557	Paweł	subst	51507
558	zupełnie	adv	51501
559	widzieć	praet	51467
560	odpowiedni	adj	51450
561	kiedyś	adv	51448
562	znać	fin	51264
563	znany	adj	51068
564	tyle	num	51016
565	żona	subst	50978
566	kwota	subst	50964
567	wzrost	subst	50933
568	pokój	subst	50901
569	niski	adj	50820
570	okno	subst	50754
571	twierdzić	fin	50696
572	17	dig	50647
573	krajowy	adj	50596
574	kolega	subst	50582
575	dać	praet	50494
576	wynikać	fin	50391
577	senat	subst	50327
578	miłość	subst	50287
579	wreszcie	part	50242
580	piękny	adj	50233
581	wszelki	adj	50070
582	otrzymać	praet	50025
583	zrobić	inf	49920
584	sala	subst	49878
585	element	subst	49867
586	50	dig	49858
587	nazwa	subst	49676
588	inwestycja	subst	49504
589	pomysł	subst	49415
590	nauka	subst	49348
591	Jerzy	subst	49247
592	kierunek	subst	49174
593	wolny	adj	49162
594	kontrola	subst	49104
595	sieć	subst	49062
596	niemiecki	adj	49030
597	znajdować	fin	48975
598	ośrodek	subst	48871
599	premier	subst	48854
600	znaczyć	fin	48853
601	czarny	adj	48847
602	list	subst	48762
603	przedsiębiorstwo	subst	48698
604	styczeń	subst	48685
605	wciąż	adv	48670
606	rozumieć	fin	48607
607	tak_zwany	brev	48511
608	radny	subst	48499
609	syn	subst	48312
610	funkcja	subst	48244
611	wolność	subst	48188
612	stosunek	subst	48016
613	biały	adj	47954
614	nadal	adv	47925
615	około	brev	47875
616	serce	subst	47632
617	ocena	subst	47612
618	warto	pred	47611
619	wrzesień	subst	47592
620	I	romandig	47429
621	stanowić	fin	47385
622	dawać	fin	47334
623	znaczenie	subst	47294
624	wiedza	subst	47169
625	skutek	subst	47152
626	dotyczyć	fin	47141
627	zatem	comp	47094
628	wieś	subst	46886
629	właściwy	adj	46886
630	przewodniczący	subst	46831
631	propozycja	subst	46731
632	warunek	subst	46705
633	efekt	subst	46548
634	punkt	brev	46482
635	•	interp	46412
636	sukces	subst	46402
637	niech	part	46311
638	bezpieczeństwo	subst	46304
639	młodzież	subst	46085
640	nagroda	subst	46011
641	kontakt	subst	45999
642	wyrok	subst	45817
643	ciekawy	adj	45783
644	możliwy	adj	45747
645	źródło	subst	45738
646	podobnie	adv	45621
647	Kraków	subst	45552
648	trener	subst	45468
649	szczęście	subst	45464
650	instytucja	subst	45414
651	zawodnik	subst	45414
652	Krzysztof	subst	45343
653	gość	subst	45101
654	przedmiot	subst	45036
655	pamiętać	fin	44988
656	czerwiec	subst	44943
657	impreza	subst	44935
658	pozycja	subst	44891
659	noga	subst	44887
660	oddział	subst	44787
661	istnieć	fin	44744
662	jednocześnie	adv	44698
663	materiał	subst	44683
664	dać	fin	44418
665	istotny	adj	44390
666	M	brev	44376
667	dziewczyna	subst	44372
668	dość	part	44181
669	dodatkowy	adj	44180
670	grudzień	subst	44126
671	ów	adj	44064
672	przyszłość	subst	44041
673	lista	subst	43963
674	biuro	subst	43860
675	telewizja	subst	43783
676	nauczyciel	subst	43777
677	interes	subst	43744
678	pora	subst	43740
679	pole	subst	43696
680	100	dig	43684
681	numer	subst	43669
682	dyskusja	subst	43553
683	iść	fin	43531
684	przyjść	praet	43515
685	wybory	subst	43500
686	’	interp	43481
687	lipiec	subst	43457
688	razem	adv	43436
689	ogromny	adj	43427
690	wybór	subst	43381
691	telefon	subst	43362
692	prowadzić	fin	43355
693	kara	subst	43330
694	oznaczać	fin	43266
695	przeciw	prep	43226
696	22	dig	43222
697	obiekt	subst	43011
698	źle	adv	42986
699	muzyka	subst	42961
700	kolej	subst	42832
701	wiek	brev	42752
702	święty	adj	42744
703	współpraca	subst	42725
704	19	dig	42711
705	policjant	subst	42687
706	ramy	subst	42648
707	znacznie	adv	42594
708	doświadczenie	subst	42552
709	potrzebny	adj	42535
710	zdjęcie	subst	42522
711	czekać	fin	42499
712	wieczór	subst	42459
713	ludzki	adj	42400
714	oferta	subst	42310
715	prosty	adj	42203
716	Adam	subst	42101
717	amerykański	adj	42071
718	widać	pred	42043
719	kredyt	subst	41950
720	potrafić	fin	41898
721	najpierw	adv	41820
722	21	dig	41787
723	prywatny	adj	41781
724	były	adj	41739
725	pozostały	adj	41731
726	dojść	praet	41723
727	choroba	subst	41718
728	o	interj	41707
729	milion	subst	41661
730	jako	prep	41480
731	społeczeństwo	subst	41463
732	marzec	subst	41447
733	zagraniczny	adj	41253
734	@	interp	41249
735	pojawić	praet	41205
736	przyczyna	subst	41171
737	co	part	41135
738	metoda	subst	41135
739	głosowanie	subst	41010
740	skład	subst	40994
741	światło	subst	40957
742	S	brev	40949
743	międzynarodowy	adj	40892
744	sklep	subst	40864
745	przyjąć	ger	40773
746	pismo	subst	40761
747	wziąć	praet	40730
748	liga	subst	40699
749	składka	subst	40680
750	krótki	adj	40677
751	Niemcy	subst	40644
752	treść	subst	40619
753	próba	subst	40507
754	nagle	adv	40418
755	tyle	adv	40372
756	inaczej	adv	40325
757	las	subst	40315
758	przyszły	adj	40102
759	poprzedni	adj	40067
760	kierowca	subst	39991
761	mąż	subst	39976
762	zapis	subst	39924
763	błąd	subst	39905
764	rzecznik	subst	39904
765	ministerstwo	subst	39895
766	wyjść	praet	39857
767	poważny	adj	39856
768	dużo	num	39723
769	odpowiedzialność	subst	39719
770	ubiegły	adj	39387
771	porządek	subst	39325
772	tamten	adj	39304
773	łatwo	adv	39233
774	głównie	part	39010
775	zaczynać	fin	38959
776	cent	brev	38837
777	czuć	fin	38807
778	silny	adj	38777
779	posiedzenie	subst	38745
780	realizacja	subst	38740
781	nazwisko	subst	38719
782	uczestnik	subst	38714
783	sens	subst	38705
784	produkcja	subst	38690
785	poprzez	prep	38598
786	rzeczywiście	adv	38572
787	linia	subst	38552
788	październik	subst	38510
789	sportowy	adj	38455
790	brat	subst	38445
791	chłopiec	subst	38415
792	artykuł	subst	38318
793	dostać	praet	38306
794	organ	subst	38160
