Abigail	Abi
Abraham	Abrahamek
Abram	Abramek
Achilles	Achillesek
Adam	Adamek
Adam	Adaś
Adam	Adaśko
Adela	Ada
Adela	Adelcia
Adela	Adelka
Adelajda	Ada
Adelina	Ada
Adolf	Adolfik
Adrian	Adek
Adrian	Adrianek
Adrian	Aduś
Adriana	Ada
Adriana	Adrianka
Adriana	Adunia
Adriana	Adusia
Adrianna	Ada
Adrianna	Adrianka
Adrianna	Adunia
Adrianna	Adusia
Agata	Aga
Agata	Agatka
Agata	Agunia
Agata	Agusia
Agata	Gunia
Agata	Gusia
Agata	Jagna
Agnieszka	Aga
Agnieszka	Agna
Agnieszka	Agniesia
Agnieszka	Agunga
Agnieszka	Agusia
Agnieszka	Aguś
Agnieszka	Gnieszka
Agnieszka	Jagna
Albert	Albercik
Aleksander	Alek
Aleksander	Oleczek
Aleksander	Olek
Aleksander	Olo
Aleksander	Oluś
Aleksandra	Aleksa
Aleksandra	Ola
Aleksandra	Olcia
Aleksandra	Oleczka
Aleksandra	Oleńka
Aleksandra	Olka
Aleksandra	Oluchna
Aleksandra	Olunia
Aleksandra	Olusia
Aleksandra	Sandra
Alfred	Alfredek
Alfred	Alfredzio
Alfred	Fredek
Alfred	Fredzio
Alfreda	Fredka
Alfreda	Fredzia
Alicja	Ala
Alina	Ala
Alina	Alinka
Alina	Alusia
Amalia	Amalka
Ambroży	Ambrozik
Ambroży	Ambroś
Ambroży	Ambrożek
Ambroży	Brożek
Amelia	Amelka
Amerykanka	Amerykaneczka
Amos	Amosek
Anaklet	Klet
Anatolia	Tola
Andromeda	Andromedeczka
Andromeda	Andromedka
Andromeda	Andromedunia
Andromeda	Andromedusia
Andromeda	Andromedzia
Andrzej	Andrek
Andrzej	Andruś
Andrzej	Andrzejeczek
Andrzej	Andrzejek
Andrzej	Jędrek
Andrzej	Jędruś
Andrzeja	Andrzejka
Andrzeja	Andzia
Andrzeja	Jędrusia
Andrzeja	Jędrzejka
Aneta	Anetka
Anetta	Anettka
Aniela	Anielcia
Aniela	Anielka
Aniela	Nela
Anioł	Aniołeczek
Anioł	Aniołek
Anita	Anitka
Anna	Andzia
Anna	Andźka
Anna	Aneczka
Anna	Ania
Anna	Anica
Anna	Aniula
Anna	Anka
Anna	Annusza
Anna	Anuchna
Anna	Anula
Anna	Anulka
Anna	Anunia
Anna	Anusia
Anna	Anusza
Anna	Anuś
Antoni	Antek
Antoni	Antoś
Antoni	Tonek
Antoni	Tosiek
Antonina	Antosia
Antoniusz	Antoniuszek
Anula	Nula
Ariel	Arielek
Arkadiusz	Areczek
Arkadiusz	Arek
Armida	Armideczka
Armida	Armidka
Armida	Armidunia
Armida	Armidusia
Armida	Armidzia
Artur	Arturek
Atena	Atenka
Aurelia	Aurelka
Aureliusz	Aurelek
Aureliusz	Aureliuszek
Aurora	Aurorka
Azor	Azorek
Azorek	Azorcio
Barbara	Barbarka
Barbara	Barbórka
Barbara	Basia
Barbara	Basieńka
Barbara	Basiuchna
Barbara	Basiulka
Barbara	Basiunia
Barbara	Baśka
Barbora	Barborka
Bartosz	Bartek
Bartosz	Bartoszek
Bartosz	Bartuś
Bartłomiej	Bartek
Bartłomiej	Bartosz
Bartłomiej	Bartoszek
Bartłomiej	Bartuś
Bartłomiej	Bartłomiejek
Beata	Beatka
Beata	Becia
Benedykt	Benek
Benedykt	Benuś
Beniamin	Beniaminek
Berenika	Bereniczka
Berenika	Berenisia
Berenika	Nika
Bernadeta	Bernadetka
Bibiana	Biba
Bibiana	Bibianka
Bibiana	Bibunia
Bibiana	Bibusia
Blanka	Blaneczka
Bogdan	Bodek
Bogdan	Bodzio
Bogdan	Bogdanek
Bogdan	Boguś
Boguchwał	Boguś
Boguchwała	Bogusia
Bogumir	Boguś
Bogumił	Boguś
Bogumiła	Bogusia
Bogusław	Boguś
Bogusław	Sław
Bogusław	Sławek
Bogusława	Bogusia
Bolesław	Bolek
Bolesław	Bolko
Bolesław	Boluś
Bona	Boneczka
Bona	Bonka
Bona	Bonunia
Bona	Bonusia
Bonifacy	Bonifacek
Bonifacy	Bonifacuś
Boromeusz	Boromeuszek
Borys	Boria
Borys	Borysek
Bożena	Bożenka
Brajan	Brajanek
Bronisław	Bronek
Bronisław	Bronuś
Bronisława	Broneczka
Bronisława	Bronia
Bronisława	Bronka
Bruno	Brunik
Bruno	Brunio
Bruno	Brunonek
Bruno	Brunonik
Brunon	Brunonek
Bóg	Bócek
Błażej	Błażejek
Błażej	Błażek
Celina	Celinka
Cezary	Czarek
Cezary	Czaruś
Charz	Charzyk
Cherubin	cherubinek
Cherubin	cherubinowość
Chinka	Chineczka
Chrystus	Chrystusik
Cicibór	Ciciborek
Ciechosław	Ciech
Cieszymir	Cieszymirek
Cygan	Cyganek
Cyprian	Cypek
Cyprian	Cypisek
Cyprian	Cyprianek
Cyryl	Cyrek
Cyryl	Cyrylek
Czesław	Czesiek
Czesław	Czesio
Czesław	Czesiu
Czesław	Czesławek
Czesława	Czesia
Czesława	Cześka
Dagmara	Dagmarka
Damian	Damianek
Daniel	Danielek
Danisława	Dana
Danisława	Danka
Danisława	Danusia
Danisława	Danuśka
Danka	Dana
Danka	Danusia
Danka	Danuśka
Danuta	Dana
Danuta	Danka
Danuta	Danuchna
Danuta	Danula
Danuta	Danusia
Danuta	Danuśka
Dariusz	Dareczek
Dariusz	Darek
Dariusz	Darunio
Dariusz	Daruś
Daromiła	Miła
Dawid	Dawidek
Dawida	Dawidka
Dobiegniew	Gniewko
Dobrawa	Dobrawka
Dobrawa	Dobrusia
Dobromiła	Dobromiłka
Dobromiła	Dobrunia
Dobromiła	Dobrusia
Dominik	Dominiczek
Dorian	Dorianek
Dorota	Dora
Dorota	Dorocia
Dorota	Dorotka
Dorota	Dosia
Dzietrzych	Dzietrzyszek
Dąbrówka	Dąbróweczka
