abażur	abażurek
ablegier	ablegierek
adidas	adidasek
adiutant	adiutancik
adrenalina	adrenalinka
adres	adresik
afera	aferka
akcent	akcencik
akt	akcik
akcydens	akcydensik
akordeon	akordeonik
aktorka	aktoreczka
akumulator	akumulatorek
akwarela	akwarelka
album	albumik
alegoria	alegoryjka
aleja	alejka
alkierz	alkierzyk
alkowa	alkówka
altana	altanka
aluzja	aluzyjka
amant	amancik
ambicja	ambicyjka
ancymon	ancymonek
anegdotka	anegdoteczka
anegdota	anegdotka
aniołek	aniołeczek
anioł	aniołek
ankieta	ankietka
anon	anonek
antałek	antałeczek
antał	antałek
antena	antenka
anyż	anyżek
aparat	aparacik
apartament	apartamencik
apetyt	apetycik
arak	araczek
arcydzieło	arcydziełko
argument	argumencik
arkada	arkadka
arkusz	arkusik
armata	armatka
armia	armijka
aromat	aromacik
aron	aronek
arsenał	arsenalik
artykuł	artykulik
as	asik
atlas	atlasik
atmosfera	atmosferka
audycja	audycyjka
aureola	aureolka
auto	autko
autobus	autobusik
autoportret	autoportrecik
awans	awansik
awantura	awanturka
ażur	ażurek
baba	babcia
babka	babcia
babka klozetowa	babcia klozetowa
babka	babeczka
bąbel	bąbelek
babina	babinka
baba	babka
babulka	babuleńka
babula	babulka
babcia	babunia
babunia	babusia
bachmat	bachmacik
bachor	bachorek
bat	bacik
bak	baczek
bąk	bączek
baki	baczki
badyl	badylek
bagatela	bagatelka
bagaż	bagażyk
bagno	bagienko
bagnet	bagnecik
bajt	bajcik
bajka	bajeczka
bajer	bajerek
bajoro	bajorko
bałagan	bałaganik
bałaguła	bałagułka
balas	balasek
balet	balecik
baletnica	baletniczka
balia	balijka
bal	balik
balkon	balkonik
ballada	balladka
balustrada	balustradka
bałwan	bałwanek
bambosz	bamboszek
bank	banczek
bandaż	bandażyk
bandera	banderka
banderola	banderolka
bandolet	bandolecik
bandura	bandurka
baniak	baniaczek
bańka	banieczka
bania	bańka
bankiet	bankiecik
barak	baraczek
baranek	baraneczek
baran	baranek
baranina	baraninka
barchan	barchanik
bariera	barierka
baron	baroniątko
barszcz	barszczyk
baryłka	baryłeczka
baryła	baryłka
basen	basenik
baskina	baskinka
bastion	bastionik
batalion	batalionik
bateria	bateryjka
baton	batonik
bawidło	bawidełko
bażant	bażancik
bazar	bazarek
bazia	baźka
bęben	bębenek
bet	becik
beka	beczka
beczka	beczułka
befsztyk	befsztyczek
bekiesza	bekieszka
belka	beleczka
bełkot	bełkocik
belweder	belwederek
beret	berecik
berżera	berżerka
bestia	bestyjka
biba	bibka
bibuła	bibułka
bicz	biczyk
bidula	bidulka
bidula	bidusia
biedak	biedaczek
biedronka	biedroneczka
biedula	biedulka
biesiada	biesiadka
bigos	bigosik
bilans	bilansik
bilet	bilecik
biszkopt	biszkopcik
bitwa	bitewka
biurko	biureczko
biust	biuścik
biznes	biznesik
bizon	bizonek
bizonię	bizoniątko
blat	blacik
blacha	blaszka
blizna	blizenka
bliźniak	bliźniaczek
blok	bloczek
blog	blogasek
blondas	blondasek
blondynek	blondyneczek
blondynka	blondyneczka
blondyn	blondynek
blondynka	blondzia
błona	błonka
błoto	błotko
bluzka	bluzeczka
bobas	bobasek
bochenek	bocheneczek
bocian	bocianek
bocianię	bocianiątko
bok	boczek
bogini	boginka
boja	bojka
bombka	bombeczka
bomboniera	bombonierka
bonus	bonusik
bór	borek
bóstwo	bóstewko
botwina	botwinka
bożę	bożątko
bóg	bożek
Bóg	Bozia
brat	braciszek
brama	bramka
bransoleta	bransoletka
brat	bratek
brawo	brawko
brelok	breloczek
brew	brewka
brodawka	brodaweczka
broda	bródka
broszka	broszeczka
broszura	broszurka
browar	browarek
brudas	brudasek
brud	brudek
brunet	brunecik
bruzda	bruzdka
bryka	bryczka
bryczka	bryczuszka
brydż	brydżyk
bryja	bryjka
brylant	brylancik
bryła	bryłka
brytfanna	brytfanka
brzękadło	brzękadełko
brzemię	brzemionko
brzeżek	brzeżeczek
brzeg	brzeżek
brzezina	brzezinka
brzoza	brzezinka
brzoskwinia	brzoskwinka
brzoza	brzózka
brzuch	brzuś
brzuch	brzusio
brzuch	brzuszek
brzuch piwny	brzuszek piwny
brzydula	brzydulka
brzytwa	brzytewka
bucik	buciczek
but	bucik
buk	buczek
buczyna	buczynka
buduar	buduarek
budynek	budyneczek
bufet	bufecik
bufa	bufka
buhaj	buhajek
bukiet	bukiecik
bukłak	bukłaczek
buława	buławka
bułka	bułeczka
bulwar	bulwarek
bulwka	bulweczka
bulwa	bulwka
burak	buraczek
bus	busik
busola	busolka
butelka	buteleczka
buziak	buziaczek
buzia	buźka
byk	byczek
bydło	bydełko
bydlę	bydlątko
Bydgoszcz	Bydzia
bylina	bylinka
cacko	cacuszko
całus	całusek
cap	capek
cęgi	cążki
ceber	ceberek
ceber	cebrzyk
cebula	cebulka
ceduła	cedułka
cegła	cegiełka
cekin	cekinek
cela	celka
cent	cencik
cera	cerka
cerkiew	cerkiewka
chabeta	chabetka
chałat	chałacik
chałtura	chałturka
chałupina	chałupinka
chałupa	chałupka
chałupnica	chałupniczka
chamówa	chamówka
charakter	charakterek
charcica	charciczka
chatka	chateńka
chata	chatka
cherlak	cherlaczek
cherubin	cherubinek
chęć	chętka
chichot	chichotek
chlebak	chlebaczek
chleb	chlebek
chleb	chlebuś
chlew	chlewek
chlew	chlewik
chłód	chłodek
chłopaczek	chłopaczątko
chłopak	chłopaczek
chłopczyk	chłopczątko
chłopiec	chłopczyk
chłop	chłopek
chłopię	chłopiątko
chłop	chłopię
chłopiec	chłopyś
chłopyś	chłopyszek
chmurka	chmureczka
chmura	chmurka
chochla	chochelka
chochoł	chochołek
chodak	chodaczek
chodnik	chodniczek
choinka	choineczka
cholewa	cholewka
chomąto	chomątko
chomik	chomiczek
chorągiew	chorągiewka
chór	chórek
choroba	choróbka
chrapa	chrapka
chrom	chromik
chrust	chruścik
chrypa	chrypka
chrzan	chrzanik
chrząszcz	chrząszczyk
chrześniak	chrześniaczek
chuchro	chucherko
chudziak	chudziaczek
chudzina	chudzinka
chuj	chujek
chustka	chusteczka
chusta	chustka
chwast	chwaścik
chwila	chwileczka
chwila	chwilka
chwila	chwilunia
chytrus	chytrusek
ciągoty	ciągotki
ciało	ciałko
ciastko	ciasteczko
cięciwa	cięciwka
cielak	cielaczek
cielę	cielątko
cielęcina	cielęcinka
cielica	cieliczka
ciemię	ciemiączko
ciepło	ciepełko
ciernik	cierniczek
ciotka	ciocia
ciotka	cioteczka
ciotka	ciotuchna
ciotka	ciotunia
cipa	cipcia
